tanggal,terakhir,pembukaan,tertinggi,terendah,perubahan,persentase
20/11/2025,1464999936,1535000064,1556999936,1460973952,-4,56%
19/11/2025,1534999040,1560499968,1560499968,1490720000,-1,64%
18/11/2025,1560656000,1551000064,1584630016,1501607040,0,64%
17/11/2025,1550669056,1576902016,1604999936,1542050944,-1,66%
16/11/2025,1576902016,1605004032,1617020032,1564000000,-1,80%
15/11/2025,1605773056,1594852992,1619213056,1592201984,0,99%
14/11/2025,1590008960,1675040000,1676993024,1581745024,-5,22%
13/11/2025,1677628032,1712027008,1746161024,1652001024,-2,1%
12/11/2025,1712028032,1733872000,1765280000,1704013952,-1,8%
